;line;order;counter_start;counter_end;shift;puco_code;sheets;date_stop;status;minutes
0;LZ-01;10163;0;0;1;RUN;0;2021-03-20 07:51:50;RUN;0 days 00:01:39
1;LZ-01;10163;0;0;1;UTR01;0;2021-03-20 09:22:22;STOP;0 days 01:30:32
2;LZ-01;10163;0;0;1;RUN;0;2021-03-20 09:22:29;RUN;0 days 00:00:07
3;LZ-01;10163;0;0;1;OGE04;0;2021-03-20 09:25:06;STOP;0 days 00:02:37
4;LZ-01;10163;0;15;1;RUN;15;2021-03-20 09:25:12;RUN;0 days 00:00:06
5;LZ-01;10163;0;15;1;OGE04;0;2021-03-20 09:27:04;STOP;0 days 00:01:52
6;LZ-01;10163;0;15;1;RUN;0;2021-03-20 09:27:09;RUN;0 days 00:00:05
7;LZ-01;10163;0;15;1;OGE04;0;2021-03-20 09:27:36;STOP;0 days 00:00:27
8;LZ-01;10163;0;62;1;RUN;47;2021-03-20 09:27:44;RUN;0 days 00:00:08
9;LZ-01;10163;0;62;1;OGE04;0;2021-03-20 09:36:24;STOP;0 days 00:08:40
10;LZ-01;10163;0;62;1;RUN;0;2021-03-20 09:36:32;RUN;0 days 00:00:08
11;LZ-01;10163;0;62;1;OPS01;0;2021-03-20 09:55:13;STOP;0 days 00:18:41
12;LZ-01;10163;0;106;1;RUN;44;2021-03-20 09:55:23;RUN;0 days 00:00:10
13;LZ-01;10163;0;106;1;OGE04;0;2021-03-20 10:03:09;STOP;0 days 00:07:46
14;LZ-01;10163;0;106;1;RUN;0;2021-03-20 10:03:15;RUN;0 days 00:00:06
15;LZ-01;10163;0;106;1;OGE04;0;2021-03-20 10:04:45;STOP;0 days 00:01:30
16;LZ-01;10163;0;106;1;RUN;0;2021-03-20 10:04:50;RUN;0 days 00:00:05
17;LZ-01;10163;0;106;1;OGE04;0;2021-03-20 10:05:10;STOP;0 days 00:00:20
18;LZ-01;10163;0;157;1;RUN;51;2021-03-20 10:14:22;RUN;0 days 00:09:12
19;LZ-01;10163;0;157;1;OPS01;0;2021-03-20 10:37:37;STOP;0 days 00:23:15
20;LZ-01;10163;7;157;1;RUN;0;2021-03-20 10:39:15;RUN;0 days 00:01:38
21;LZ-01;10163;7;157;1;OGE04;0;2021-03-20 10:40:07;STOP;0 days 00:00:52
22;LZ-01;10163;37;866;1;RUN;709;2021-03-20 10:40:16;RUN;0 days 00:00:09
23;LZ-01;10163;37;866;1;OGE04;0;2021-03-20 10:51:44;STOP;0 days 00:11:28
24;LZ-01;10163;37;866;1;RUN;0;2021-03-20 10:51:49;RUN;0 days 00:00:05
25;LZ-01;10163;37;866;1;OGE04;0;2021-03-20 10:51:56;STOP;0 days 00:00:07
26;LZ-01;10163;54;877;1;RUN;11;2021-03-20 10:53:36;RUN;0 days 00:01:40
27;LZ-01;10163;54;877;1;OGE04;0;2021-03-20 10:56:06;STOP;0 days 00:02:30
28;LZ-01;10163;54;1431;1;RUN;554;2021-03-20 10:56:20;RUN;0 days 00:00:14
29;LZ-01;10163;54;1431;1;OGE04;0;2021-03-20 11:05:46;STOP;0 days 00:09:26
30;LZ-01;10163;54;1584;1;RUN;153;2021-03-20 11:06:00;RUN;0 days 00:00:14
31;LZ-01;10163;54;1584;1;OGE04;0;2021-03-20 11:06:55;STOP;0 days 00:00:55
32;LZ-01;10163;54;1584;1;RUN;0;2021-03-20 11:07:06;RUN;0 days 00:00:11
33;LZ-01;10163;54;1584;1;OGE04;0;2021-03-20 11:07:28;STOP;0 days 00:00:22
34;LZ-01;10163;54;1584;1;RUN;0;2021-03-20 11:07:42;RUN;0 days 00:00:14
35;LZ-01;10163;54;1584;1;OGE04;0;2021-03-20 11:08:06;STOP;0 days 00:00:24
36;LZ-01;10163;58;1649;1;RUN;65;2021-03-20 11:08:22;RUN;0 days 00:00:16
37;LZ-01;10163;58;1649;1;OGE04;0;2021-03-20 11:08:54;STOP;0 days 00:00:32
38;LZ-01;10163;61;1649;1;RUN;0;2021-03-20 11:09:40;RUN;0 days 00:00:46
39;LZ-01;10163;61;1649;1;OGE04;0;2021-03-20 11:09:47;STOP;0 days 00:00:07
40;LZ-01;10163;61;1723;1;RUN;74;2021-03-20 11:09:52;RUN;0 days 00:00:05
41;LZ-01;10163;61;1723;1;OGE04;0;2021-03-20 11:11:03;STOP;0 days 00:01:11
42;LZ-01;10163;131;6025;1;RUN;4302;2021-03-20 11:22:54;RUN;0 days 00:11:51
43;LZ-01;10163;131;6025;1;OGE04;0;2021-03-20 11:24:18;STOP;0 days 00:01:24
44;LZ-01;10163;131;6058;1;RUN;33;2021-03-20 11:24:23;RUN;0 days 00:00:05
45;LZ-01;10163;131;6058;1;OGE04;0;2021-03-20 11:26:07;STOP;0 days 00:01:44
46;LZ-01;10163;160;8050;1;RUN;1992;2021-03-20 11:31:30;RUN;0 days 00:05:23
